Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT day3 2-1,K24,6.35E-10,EC_11261479,2,-0.046023886,0.665833996,0.018550224,0.405144783,-0.034139715,-0.075118269,FALSE,Not Fitted,FALSE,FALSE
EMT day3 2-2,K15,3.23E-05,EC_11261479,2,-0.403390821,1.748145303,-0.064707632,-0.024782248,-0.110305526,-0.393891147,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-2,K16,9.68E-06,EC_11261479,2,-0.403975446,-4.679014234,-0.064707632,-0.024782248,-0.483947928,-0.394430512,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-2,K17,2.90E-06,EC_11261479,2,-0.403975446,-4.679014234,-0.064707632,-0.024782248,-0.483947928,-0.394430512,FALSE,Not Fitted,FALSE,FALSE
EMT day3 2-2,K18,8.71E-07,EC_11261479,2,-0.403975446,-4.679014234,-0.064707632,-0.024782248,-0.483947928,-0.394430512,FALSE,Not Fitted,FALSE,FALSE
EMT day3 2-2,K19,2.61E-07,EC_11261479,2,-0.391406022,0.21721222,0.75197503,0.182813977,-0.136716259,-0.098312027,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-2,K20,7.84E-08,EC_11261479,2,-0.125694241,0.466911681,-0.009635,0.281865998,-0.178639745,-0.147096459,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-2,K21,2.35E-08,EC_11261479,2,0.038585209,0.575344546,0.036825888,0.40956872,-0.112436238,0.009329412,FALSE,Not Fitted,FALSE,FALSE
EMT day3 2-2,K22,7.06E-09,EC_11261479,2,0.075708857,0.552852332,0.074684798,0.639340469,0.079317216,0.035261255,FALSE,Not Fitted,FALSE,FALSE
EMT day3 2-2,K23,2.12E-09,EC_11261479,2,0.056708565,0.532746904,0.092318876,1.116230063,-0.025541977,-0.022276522,FALSE,Not Fitted,FALSE,FALSE
EMT day3 2-2,K24,6.35E-10,EC_11261479,2,-0.167202572,0.682812763,-0.004636755,0.539021522,-0.138063231,-0.208648795,FALSE,Not Fitted,FALSE,FALSE
EMT day3 2-3,K15,3.23E-05,EC_11261479,2,-0.323529412,-1.654388132,-0.0563068,-0.027608128,-0.133680392,-0.31680083,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-3,K16,9.68E-06,EC_11261479,2,-0.322469528,-1.988632678,-0.0563068,-0.027608128,-0.183428614,-0.315822998,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-3,K17,2.90E-06,EC_11261479,2,-0.326444091,-5.313495377,-0.0563068,-0.027608128,-0.637090399,-0.319489867,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-3,K18,8.71E-07,EC_11261479,2,-0.321939587,0.183221295,0.544768293,0.721755338,-0.216122989,-0.16420932,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-3,K19,2.61E-07,EC_11261479,2,-0.303126656,0.535254884,0.472110864,0.137087139,-0.063944932,-0.116850829,TRUE,Not Fitted,FALSE,FALSE
EMT day3 2-3,K20,7.84E-08,EC_11261479,2,-0.058558559,0.498015677,-0.024127519,0.183011781,-0.022358865,-0.080909473,TRUE,Not Fitted,FALSE,FALSE
