Plate,Well,Class,G/N,Surface_nucleus,R/N,Nuclei,Eccentricity,CPD_ID,Concentration
EMT-Serie2-2-C1,N11,2,0.978414978,0.917682123,0.106362473,0.122253296,0.879320237,EC_11258179,2.35E-08
EMT-Serie2-2-C1,N12,2,0.961023314,0.892236573,-0.04008053,-0.014782261,1.095489194,EC_11258179,7.06E-09
EMT-Serie2-2-C1,N13,2,1.048353694,1.051702115,-0.057526819,0.043947263,0.969454386,EC_11258179,2.12E-09
EMT-Serie2-2-C1,N14,2,1.052032324,1.094280327,-0.082954909,0.051538154,0.925138657,EC_11258179,6.35E-10
EMT-Serie2-2-C2,N05,2,-0.005392858,-0.429246168,-0.119549757,-0.068088597,-1.787649787,EC_11258179,3.23E-05
EMT-Serie2-2-C2,N06,2,0.878025494,-0.66947703,0.907712987,0.862182116,-0.182545848,EC_11258179,9.68E-06
EMT-Serie2-2-C2,N07,2,0.609444144,-0.126378053,0.697828146,0.572600492,0.041928573,EC_11258179,2.90E-06
EMT-Serie2-2-C2,N08,2,0.813713833,0.766555944,0.248965352,0.280147662,0.296230901,EC_11258179,8.71E-07
EMT-Serie2-2-C2,N09,2,0.987374475,0.932573358,0.066916119,0.066037736,0.838618547,EC_11258179,2.61E-07
EMT-Serie2-2-C2,N10,2,1.026174409,1.161228026,-0.022799992,-0.002871206,0.783223862,EC_11258179,7.84E-08
EMT-Serie2-2-C2,N11,2,1.161223558,1.018539568,0.007793747,0.016406891,1.159074323,EC_11258179,2.35E-08
EMT-Serie2-2-C2,N12,2,0.855060857,1.3356986,-0.04334765,0.029122231,0.778350637,EC_11258179,7.06E-09
EMT-Serie2-2-C2,N13,2,1.097006117,1.006621274,-0.033522332,-0.010664479,1.044094451,EC_11258179,2.12E-09
EMT-Serie2-2-C2,N14,2,0.900845659,1.328966971,0.230952268,0.152994258,0.828518963,EC_11258179,6.35E-10
EMT-Serie2-2-C3,N05,2,-0.020978481,-0.372301971,-0.099210436,-0.037667072,-1.743982956,EC_11258179,3.23E-05
EMT-Serie2-2-C3,N06,2,0.759302438,-0.84601171,0.905030767,0.925475901,-0.202144596,EC_11258179,9.68E-06
EMT-Serie2-2-C3,N07,2,0.593600561,0.116825074,0.744639958,0.634669907,-0.054457764,EC_11258179,2.90E-06
EMT-Serie2-2-C3,N08,2,0.842212438,0.881361804,0.182166875,0.219927096,0.470102079,EC_11258179,8.71E-07
EMT-Serie2-2-C3,N09,2,0.937755156,1.010462981,0.121340516,0.179829891,0.838195355,EC_11258179,2.61E-07
EMT-Serie2-2-C3,N10,2,1.010847731,0.898950237,-0.034365875,0.062373431,0.879799588,EC_11258179,7.84E-08
EMT-Serie2-2-C3,N11,2,0.945981188,1.144657066,-0.040246138,0.0818145,0.88169601,EC_11258179,2.35E-08
EMT-Serie2-2-C3,N12,2,0.835292334,1.209213429,-0.0237552,0.069258809,0.835783855,EC_11258179,7.06E-09
EMT-Serie2-2-C3,N13,2,1.180923481,1.404152857,0.005163871,0.093965168,1.002388088,EC_11258179,2.12E-09
EMT-Serie2-2-C3,N14,2,0.952727387,1.155050756,0.001115006,0.058323208,1.055839108,EC_11258179,6.35E-10
EMT-Serie2-3-C1,F15,2,0.445130035,0.328180521,0.49283016,0.248319328,-1.228644191,EC_11261582,3.23E-05
EMT-Serie2-3-C1,F16,2,1.028226038,0.329355642,0.908024357,0.527310924,0.090055785,EC_11261582,9.68E-06
EMT-Serie2-3-C1,F17,2,0.988264057,0.527783218,0.136609599,0.017226891,0.880184332,EC_11261582,2.90E-06
EMT-Serie2-3-C1,F18,2,1.044201794,0.820332391,0.005881772,-0.026890756,1.148726655,EC_11261582,8.71E-07
EMT-Serie2-3-C1,F19,2,1.03596891,1.138692258,-0.046243147,-0.004201681,0.896774194,EC_11261582,2.61E-07
EMT-Serie2-3-C1,F20,2,0.961226557,0.954659914,-0.071512454,-0.029831933,1.206766917,EC_11261582,7.84E-08
EMT-Serie2-3-C1,F21,2,1.039600554,1.106348451,-0.070109239,-0.038235294,1.056730536,EC_11261582,2.35E-08
EMT-Serie2-3-C1,F22,2,1.01811999,1.789891161,-0.017858446,-0.055462185,0.975454766,EC_11261582,7.06E-09
EMT-Serie2-3-C1,F23,2,0.881723102,0.431353348,-0.045592318,0.015966387,0.856803299,EC_11261582,2.12E-09
EMT-Serie2-3-C1,F24,2,0.692919338,1.50030777,0.125406768,0.01092437,-0.130220713,EC_11261582,6.35E-10
EMT-Serie2-3-C2,F15,2,0.68244138,-0.355560851,0.897229134,0.725583405,-0.72271319,EC_11261582,3.23E-05
EMT-Serie2-3-C2,F16,2,0.868741792,0.300661226,0.827177579,0.505617978,0.072857941,EC_11261582,9.68E-06
