PlateSanofi_Well,Plate,Well,tags,Eccent,R/N,Nuclei,Surface_nucleus,G/N,Plate_Sanofi,CPD_ID,Concentration
Plaque cell 3_D16,4176_Plaque cell 3_20122017_1026,D16,,0.650426,0.194664,3137,93.8082,0.16328,Plaque cell 3,EC_11187466,9.68E-06
Plaque cell 3_D17,4176_Plaque cell 3_20122017_1026,D17,,0.679143,0.299869,3320,95.9401,0.222137,Plaque cell 3,EC_11187466,2.90E-06
Plaque cell 3_D18,4176_Plaque cell 3_20122017_1026,D18,,0.723727,0.117982,1971,105.271,0.251576,Plaque cell 3,EC_11187466,8.71E-07
Plaque cell 3_D19,4176_Plaque cell 3_20122017_1026,D19,,0.745869,0.168829,2034,104.229,0.262986,Plaque cell 3,EC_11187466,2.61E-07
Plaque cell 3_D20,4176_Plaque cell 3_20122017_1026,D20,,0.780632,0.0561985,1801,102.345,0.278839,Plaque cell 3,EC_11187466,7.84E-08
Plaque cell 3_D21,4176_Plaque cell 3_20122017_1026,D21,,0.77296,0.0688398,1898,101.743,0.333333,Plaque cell 3,EC_11187466,2.35E-08
Plaque cell 3_D22,4176_Plaque cell 3_20122017_1026,D22,,0.772297,0.0656354,1593,102.696,0.286029,Plaque cell 3,EC_11187466,7.06E-09
Plaque cell 3_D23,4176_Plaque cell 3_20122017_1026,D23,,0.74437,0.192554,1781,108.711,0.261318,Plaque cell 3,EC_11187466,2.12E-09
Plaque cell 3_D24,4176_Plaque cell 3_20122017_1026,D24,,0.759362,0.0744279,1366,111.224,0.284372,Plaque cell 3,EC_11187466,6.35E-10
Plaque cell 7_O05,4180_Plaque cell 7_20122017_1207,O05,,0.747854,0.108855,1940,102.109,0.262837,Plaque cell 7,EC_11187486,3.23E-05
Plaque cell 7_O06,4180_Plaque cell 7_20122017_1207,O06,,0.753191,0.072944,1812,106.999,0.278481,Plaque cell 7,EC_11187486,9.68E-06
Plaque cell 7_O07,4180_Plaque cell 7_20122017_1207,O07,,0.769535,0.0738075,1711,129.812,0.298935,Plaque cell 7,EC_11187486,2.90E-06
Plaque cell 7_O08,4180_Plaque cell 7_20122017_1207,O08,,0.755784,0.0983845,1859,105.518,0.337502,Plaque cell 7,EC_11187486,8.71E-07
Plaque cell 7_O09,4180_Plaque cell 7_20122017_1207,O09,,0.751812,0.0778797,1796,104.199,0.287728,Plaque cell 7,EC_11187486,2.61E-07
Plaque cell 7_O10,4180_Plaque cell 7_20122017_1207,O10,,0.740579,0.123677,1981,106.629,0.238491,Plaque cell 7,EC_11187486,7.84E-08
Plaque cell 7_O11,4180_Plaque cell 7_20122017_1207,O11,,0.754641,0.0920869,1763,107.123,0.299787,Plaque cell 7,EC_11187486,2.35E-08
Plaque cell 7_O12,4180_Plaque cell 7_20122017_1207,O12,,0.767634,0.101362,1871,100.223,0.298385,Plaque cell 7,EC_11187486,7.06E-09
