Plate,Well,Concentration,CPD_ID,Class,Eccent,R/N,Nuclei,Surface_nucleus,G/N,LDA_1
4180_Plaque cell 7_20122017_1207,F18,8.71E-07,EC_11187920,2,1.121587439,0.010395986,0.038748137,0.956866663,1.469576689,1.07051527
4180_Plaque cell 7_20122017_1207,G18,8.71E-07,EC_16578705,2,0.991310502,-0.005740187,0.092026826,0.952870659,1.233662223,1.006041088
4180_Plaque cell 7_20122017_1207,H18,8.71E-07,EC_11192350,2,0.965910431,-0.014613639,0.026080477,0.943350767,0.98109686,0.99439408
4180_Plaque cell 7_20122017_1207,I18,8.71E-07,EC_11188016,2,1.037824873,0.002759262,0.084202683,0.99012752,1.029825271,0.981712259
4180_Plaque cell 7_20122017_1207,J18,8.71E-07,EC_11193182,2,0.960078114,0.021755475,0.026080477,0.915731327,0.99508861,0.982647577
4180_Plaque cell 7_20122017_1207,K18,8.71E-07,EC_11189738,2,0.856498775,0.125571012,0.186661699,0.289381207,1.177809442,0.895402743
4180_Plaque cell 7_20122017_1207,L18,8.71E-07,EC_11190219,2,1.132505013,-0.006115177,0.049925484,1.215784216,1.059033049,1.014565663
4180_Plaque cell 7_20122017_1207,M18,8.71E-07,EC_11257101,2,0.802880772,0.068090198,0.105067064,1.306517012,1.038934186,0.926152949
4180_Plaque cell 7_20122017_1207,N18,8.71E-07,EC_11177295,2,1.042084431,0.015996168,0.007078987,1.221895751,1.101747148,1.018873611
4180_Plaque cell 7_20122017_1207,O18,8.71E-07,EC_11188969,2,0.897547805,0.005453887,0.038748137,1.122700829,0.894876271,0.96276141
4180_Plaque cell 7_20122017_1207,P18,8.71E-07,EC_11263657,2,0.591750875,0.130590206,-0.019746647,2.234882764,0.942630256,0.918099618
