Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT 1-1,B21,2.35E-08,EC_11509486,2,-0.014299967,0.478635927,0.319805526,1.01613139,0.051480026,-0.13922126,False,False,Not Fitted,False
EMT 1-1,B22,7.06E-09,EC_11509486,2,-0.104090456,0.180774721,0.198450655,0.839240131,-0.020755608,-0.218071899,False,False,Not Fitted,False
EMT 1-1,B23,2.12E-09,EC_11509486,2,0.002993016,0.612015679,0.208317716,0.61867545,-0.030897326,-0.070480349,False,False,Not Fitted,False
EMT 1-1,B24,6.35E-10,EC_11509486,2,-0.333222481,1.317507516,-0.152442772,0.765290905,-0.095977229,-0.502800091,False,False,Not Fitted,False
EMT 1-2,B15,3.23E-05,EC_11509486,2,0.35260884,-0.069445193,0.523634823,0.651144328,-0.127601226,0.329024339,False,False,Not Fitted,False
EMT 1-2,B16,9.68E-06,EC_11509486,2,0.343303423,0.152271033,0.900562536,0.652513563,-0.013338593,0.40671899,False,False,Not Fitted,False
EMT 1-2,B17,2.90E-06,EC_11509486,2,0.118644068,0.288417898,0.74725217,0.842052826,0.166289523,0.120100471,False,False,Not Fitted,False
EMT 1-2,B18,8.71E-07,EC_11509486,2,0.041874377,0.369904241,0.172339008,0.692374916,0.200641065,-0.056161949,False,False,Not Fitted,False
EMT 1-2,B19,2.61E-07,EC_11509486,2,-0.042871386,0.590957503,0.184595325,1.086531349,0.243923582,-0.211407584,False,False,Not Fitted,False
EMT 1-2,B20,7.84E-08,EC_11509486,2,-0.083416417,0.516055777,0.154967015,0.98128201,0.105204106,-0.236238555,False,False,Not Fitted,False
EMT 1-2,B21,2.35E-08,EC_11509486,2,0.088069126,0.450451776,0.280564326,0.914835165,0.100146921,-0.030824901,False,False,Not Fitted,False
EMT 1-2,B22,7.06E-09,EC_11509486,2,-0.097374543,1.103675112,-0.206290477,0.887000404,0.006379943,-0.314276424,False,False,Not Fitted,False
EMT 1-2,B23,2.12E-09,EC_11509486,2,0.007311399,0.533132553,0.482237871,0.987199642,-0.014151144,-0.075529663,False,False,Not Fitted,False
EMT 1-2,B24,6.35E-10,EC_11509486,2,-0.282818212,1.564262067,-0.286156853,0.833636087,-0.118221458,-0.498963988,False,False,Not Fitted,False
