Plate,Well,G/N,R/N,Nuclei,Eccent,CPD_ID,Concentration
EMT-Serie2-4-C2,O14,0.907903193,-0.039356829,-0.016129032,0.821830656,EC_11190967,6.35E-10
EMT-Serie2-4-C3,O05,0.112576118,-0.248708231,0.465416667,-0.956339033,EC_11190967,3.23E-05
EMT-Serie2-4-C3,O06,0.456287319,0.560842158,0.619166667,-0.360784417,EC_11190967,9.68E-06
EMT-Serie2-4-C3,O07,0.771832279,0.060559447,0.095416667,0.129212147,EC_11190967,2.90E-06
EMT-Serie2-4-C3,O08,0.745642058,-0.052521776,0.1475,0.46695034,EC_11190967,8.71E-07
EMT-Serie2-4-C3,O09,0.880809509,-0.017481646,-0.0025,0.663794698,EC_11190967,2.61E-07
EMT-Serie2-4-C3,O10,0.907662352,-0.036217365,0.000416667,0.693051775,EC_11190967,7.84E-08
EMT-Serie2-4-C3,O11,1.060132006,-0.041958559,-0.03,0.885508893,EC_11190967,2.35E-08
EMT-Serie2-4-C3,O12,1.012319584,-0.073368399,-0.023333333,0.772392103,EC_11190967,7.06E-09
EMT-Serie2-4-C3,O13,0.875527043,-0.074597826,-0.000416667,0.698628327,EC_11190967,2.12E-09
EMT-Serie2-4-C3,O14,0.843006748,-0.110135237,-0.01625,0.816396649,EC_11190967,6.35E-10
EMT-Serie2-3-C1,B15,0.030114145,-0.108276392,0.148739496,-0.880596653,EC_11191211,3.23E-05
EMT-Serie2-3-C1,B16,0.45391896,-0.05252829,0.281512605,-0.777952947,EC_11191211,9.68E-06
EMT-Serie2-3-C1,B17,0.858626544,0.172490985,0.157983193,0.022653408,EC_11191211,2.90E-06
EMT-Serie2-3-C1,B18,0.900503391,0.098758563,0.074789916,0.53402862,EC_11191211,8.71E-07
EMT-Serie2-3-C1,B19,0.889055894,-0.053428006,-0.048319328,0.587121028,EC_11191211,2.61E-07
EMT-Serie2-3-C1,B20,0.966383839,-0.041299711,-0.102521008,0.743754548,EC_11191211,7.84E-08
EMT-Serie2-3-C1,B21,0.963436821,0.038416041,0.025210084,0.634513704,EC_11191211,2.35E-08
EMT-Serie2-3-C1,B22,0.908117679,0.047059901,-0.072689076,0.934829008,EC_11191211,7.06E-09
EMT-Serie2-3-C1,B23,1.081261935,0.077537265,-0.048739496,0.487096774,EC_11191211,2.12E-09
EMT-Serie2-3-C1,B24,0.95322304,-0.071137691,-0.195798319,0.345985933,EC_11191211,6.35E-10
EMT-Serie2-3-C2,B15,0.01840778,-0.148591207,0.15514261,-1.128066433,EC_11191211,3.23E-05
EMT-Serie2-3-C2,B16,0.360546394,-0.049909885,0.313742437,-0.726471634,EC_11191211,9.68E-06
EMT-Serie2-3-C2,B17,0.697385813,0.339333106,0.267070009,0.075194271,EC_11191211,2.90E-06
EMT-Serie2-3-C2,B18,0.776855603,0.08775665,0.021175454,0.472421149,EC_11191211,8.71E-07
EMT-Serie2-3-C2,B19,0.942574912,-0.039103494,-0.04494382,0.709634821,EC_11191211,2.61E-07
EMT-Serie2-3-C2,B20,0.927899612,0.10670221,-0.011235955,0.818858246,EC_11191211,7.84E-08
EMT-Serie2-3-C2,B21,0.835336055,-0.091169039,-0.055747623,0.724338463,EC_11191211,2.35E-08
EMT-Serie2-3-C2,B22,0.982966007,-0.031184622,-0.103284356,0.738610392,EC_11191211,7.06E-09
EMT-Serie2-3-C2,B23,0.80769097,0.1919868,-0.010803803,0.222738585,EC_11191211,2.12E-09
EMT-Serie2-3-C2,B24,0.842142999,-0.068054096,-0.168971478,0.212606024,EC_11191211,6.35E-10
EMT-Serie2-3-C3,B15,0.039799831,-0.129939188,0.140241365,-1.267338471,EC_11191211,3.23E-05
EMT-Serie2-3-C3,B16,0.322151999,-0.136157715,0.320432792,-0.860338651,EC_11191211,9.68E-06
EMT-Serie2-3-C3,B17,0.647787626,0.407285813,0.414898044,-0.231463107,EC_11191211,2.90E-06
EMT-Serie2-3-C3,B18,0.764491267,-0.05361399,0.051602164,0.321460787,EC_11191211,8.71E-07
EMT-Serie2-3-C3,B19,0.920719303,-0.013301632,0.01414898,0.727223525,EC_11191211,2.61E-07
EMT-Serie2-3-C3,B20,1.134039716,-0.109351451,-0.079067832,1.020875751,EC_11191211,7.84E-08
EMT-Serie2-3-C3,B21,0.944177769,-0.074258684,-0.105701207,0.700935543,EC_11191211,2.35E-08
EMT-Serie2-3-C3,B22,0.70672457,-0.063607739,-0.144818976,0.481972114,EC_11191211,7.06E-09
EMT-Serie2-3-C3,B23,0.766721159,-0.001901485,0.045776113,0.16909358,EC_11191211,2.12E-09
EMT-Serie2-3-C3,B24,0.883588921,-0.026230854,-0.109862672,0.09548723,EC_11191211,6.35E-10
EMT-Serie2-4-C1,B05,0.195599496,-0.015491596,0.372287145,-0.996956935,EC_11191242,3.23E-05
EMT-Serie2-4-C1,B06,0.854982576,0.586913367,0.521285476,-0.376959652,EC_11191242,9.68E-06
EMT-Serie2-4-C1,B07,0.963413444,0.206841232,0.204507513,0.190490422,EC_11191242,2.90E-06
EMT-Serie2-4-C1,B08,1.03037361,-0.01134098,-0.075125209,0.713734547,EC_11191242,8.71E-07
EMT-Serie2-4-C1,B09,0.945469288,0.009702085,0.025041736,0.510283929,EC_11191242,2.61E-07
EMT-Serie2-4-C1,B10,1.155320084,-0.024983048,-0.093906511,1.312077163,EC_11191242,7.84E-08
EMT-Serie2-4-C1,B11,0.959947161,0.006805165,0.012103506,0.865453063,EC_11191242,2.35E-08
EMT-Serie2-4-C1,B12,1.099852443,0.07416288,-0.034641068,0.896318435,EC_11191242,7.06E-09
EMT-Serie2-4-C1,B13,1.047074465,0.021585515,0.011686144,0.934546937,EC_11191242,2.12E-09
EMT-Serie2-4-C1,B14,0.980292422,-0.013802207,-0.160267112,0.963537563,EC_11191242,6.35E-10
EMT-Serie2-4-C2,B05,0.121825659,0.062787768,0.324324324,-1.484079214,EC_11191242,3.23E-05
EMT-Serie2-4-C2,B06,0.731419977,0.551670171,0.41673932,-0.547793544,EC_11191242,9.68E-06
EMT-Serie2-4-C2,B07,0.643443308,0.400846998,0.306015693,-0.046405738,EC_11191242,2.90E-06
EMT-Serie2-4-C2,B08,0.65710464,0.132449207,0.091543156,0.073257446,EC_11191242,8.71E-07
EMT-Serie2-4-C2,B09,0.810229084,0.108166505,0.075414124,0.529861219,EC_11191242,2.61E-07
EMT-Serie2-4-C2,B10,0.754235285,-0.050182563,-0.040540541,0.677311711,EC_11191242,7.84E-08
EMT-Serie2-4-C2,B11,1.033480793,-0.055482259,-0.042720139,1.024450335,EC_11191242,2.35E-08
EMT-Serie2-4-C2,B12,0.904713737,0.005874487,-0.017872711,0.648619991,EC_11191242,7.06E-09
EMT-Serie2-4-C2,B13,0.830184411,0.032912018,0.009154316,0.717168252,EC_11191242,2.12E-09
EMT-Serie2-4-C2,B14,1.119898399,-0.046622133,-0.126852659,1.18640262,EC_11191242,6.35E-10
EMT-Serie2-4-C3,B05,0.100150663,-0.081401721,0.27,-0.854163914,EC_11191242,3.23E-05
EMT-Serie2-4-C3,B06,0.90088436,0.640586762,0.4875,-0.469302535,EC_11191242,9.68E-06
EMT-Serie2-4-C3,B07,0.693021,0.274661038,0.26125,-0.029309935,EC_11191242,2.90E-06
EMT-Serie2-4-C3,B08,0.796123477,0.11232298,0.102916667,0.134788699,EC_11191242,8.71E-07
EMT-Serie2-4-C3,B09,0.845087159,-0.062773287,0.06875,0.600840447,EC_11191242,2.61E-07
