Plate,Well,Nuclei,R/N,Eccent,CPD_ID,Concentration,G/N
EMT-Serie2-5-C1,G09,0.083543241,0.048102678,1.047729858,DMSO,0.00E+00,1.084382939
EMT-Serie2-5-C1,H09,0.036104114,0.069823661,0.884734719,DMSO,0.00E+00,0.902293951
EMT-Serie2-5-C1,I09,0.0302267,0.134669804,1.0949426,DMSO,0.00E+00,0.990267378
EMT-Serie2-5-C1,J09,0.013853904,0.036225421,1.011298997,DMSO,0.00E+00,1.160559051
EMT-Serie2-5-C1,K09,0.040722082,-0.003389221,0.801970214,DMSO,0.00E+00,1.000525912
EMT-Serie2-5-C1,L09,0,-0.017275751,1.159194332,DMSO,0.00E+00,1.163555452
EMT-Serie2-5-C1,M09,0.019311503,0.01060291,0.977738132,DMSO,0.00E+00,1.016374699
EMT-Serie2-5-C1,N09,-0.033585223,-0.013763805,0.89272417,DMSO,0.00E+00,0.895125962
EMT-Serie2-5-C1,O09,-0.086901763,-0.027764498,0.91490847,DMSO,0.00E+00,0.900940214
EMT-Serie2-5-C1,P09,-0.110411419,-0.11166734,0.437997725,DMSO,0.00E+00,0.695837697
EMT-Serie2-5-C1,D10,0.032745592,0.070462975,1.144249664,DMSO,0.00E+00,1.266345319
EMT-Serie2-5-C1,E10,-0.054156171,-0.01378521,1.451106629,DMSO,0.00E+00,1.253963658
EMT-Serie2-5-C1,F10,-0.042401343,0.00614769,1.325964422,DMSO,0.00E+00,1.311784784
EMT-Serie2-5-C1,G10,0.002518892,-0.015255062,1.096002689,DMSO,0.00E+00,0.926508638
EMT-Serie2-5-C1,H10,-0.044920235,0.002333211,1.149213983,DMSO,0.00E+00,1.222009621
EMT-Serie2-5-C1,I10,0.005877414,0.051249303,1.402264971,DMSO,0.00E+00,1.224707356
EMT-Serie2-5-C1,J10,0.022670025,0.05970309,0.707337884,DMSO,0.00E+00,0.917519434
EMT-Serie2-5-C1,K10,-0.129722922,0.030338879,1.3154411,DMSO,0.00E+00,1.041099066
EMT-Serie2-5-C1,L10,0.023929471,0.056222538,0.852595925,DMSO,0.00E+00,0.874975733
EMT-Serie2-5-C1,M10,0.054995802,-0.037461238,0.835479367,DMSO,0.00E+00,0.924690669
EMT-Serie2-5-C1,N10,-0.11922754,-0.06245157,1.242708657,DMSO,0.00E+00,1.081220973
EMT-Serie2-5-C1,O10,0.060033585,-0.089118674,0.671553418,DMSO,0.00E+00,0.795663627
EMT-Serie2-5-C1,P10,-0.191435768,-0.101790793,0.756489813,DMSO,0.00E+00,0.882517055
EMT-Serie2-5-C1,D11,0.026028547,0.028379553,0.899886234,DMSO,0.00E+00,1.137853928
EMT-Serie2-5-C1,E11,0.002518892,0.071664543,1.051944358,DMSO,0.00E+00,1.128965362
EMT-Serie2-5-C1,F11,-0.007556675,0.043163692,0.905341814,DMSO,0.00E+00,0.93496219
EMT-Serie2-5-C1,G11,-0.156171285,-0.012142687,1.345640707,DMSO,0.00E+00,1.127725248
EMT-Serie2-5-C1,H11,0.100335852,0.044565045,0.87617644,DMSO,0.00E+00,1.006684279
EMT-Serie2-5-C1,I11,-0.016792611,-0.066061982,1.260756024,DMSO,0.00E+00,0.941941889
EMT-Serie2-5-C1,J11,-0.019311503,0.084579259,1.02670907,DMSO,0.00E+00,1.06941392
EMT-Serie2-5-C1,K11,0.053736356,0.046919662,1.069940014,DMSO,0.00E+00,0.975707401
EMT-Serie2-5-C1,L11,-0.105793451,-0.000485194,0.928922329,DMSO,0.00E+00,0.986897644
EMT-Serie2-5-C1,M11,-0.088581024,-0.001465571,1.024330334,DMSO,0.00E+00,1.036586609
EMT-Serie2-5-C1,N11,-0.026868178,0.014323205,1.1381994,DMSO,0.00E+00,0.92314215
EMT-Serie2-5-C1,O11,-0.140218304,-0.051304957,0.978720654,DMSO,0.00E+00,0.744276809
