COMPOUND_MASK,BATCH_MASK,plaque Cpds,plaque cellules,Well,Plate_Sanofi
EC_11189359,EB_11189361,2200116202a,EMT-Serie2-1,L20,EMT-Serie2-1-C2
EC_11189359,EB_11189361,2200116202a,EMT-Serie2-1,L21,EMT-Serie2-1-C2
EC_11189359,EB_11189361,2200116202a,EMT-Serie2-1,L22,EMT-Serie2-1-C2
EC_11189359,EB_11189361,2200116202a,EMT-Serie2-1,L23,EMT-Serie2-1-C2
EC_11189359,EB_11189361,2200116202a,EMT-Serie2-1,L24,EMT-Serie2-1-C2
EC_11257101,EB_11257103,2200116202a,EMT-Serie2-1,M05,EMT-Serie2-1-C2
EC_11257101,EB_11257103,2200116202a,EMT-Serie2-1,M06,EMT-Serie2-1-C2
EC_11257101,EB_11257103,2200116202a,EMT-Serie2-1,M07,EMT-Serie2-1-C2
EC_11257101,EB_11257103,2200116202a,EMT-Serie2-1,M08,EMT-Serie2-1-C2
EC_11257101,EB_11257103,2200116202a,EMT-Serie2-1,M09,EMT-Serie2-1-C2
EC_11257101,EB_11257103,2200116202a,EMT-Serie2-1,M10,EMT-Serie2-1-C2
EC_11257101,EB_11257103,2200116202a,EMT-Serie2-1,M11,EMT-Serie2-1-C2
EC_11257101,EB_11257103,2200116202a,EMT-Serie2-1,M12,EMT-Serie2-1-C2
EC_11257101,EB_11257103,2200116202a,EMT-Serie2-1,M13,EMT-Serie2-1-C2
EC_11257101,EB_11257103,2200116202a,EMT-Serie2-1,M14,EMT-Serie2-1-C2
EC_11189708,EB_11189710,2200116202a,EMT-Serie2-1,M15,EMT-Serie2-1-C2
EC_11189708,EB_11189710,2200116202a,EMT-Serie2-1,M16,EMT-Serie2-1-C2
EC_11189708,EB_11189710,2200116202a,EMT-Serie2-1,M17,EMT-Serie2-1-C2
EC_11189708,EB_11189710,2200116202a,EMT-Serie2-1,M18,EMT-Serie2-1-C2
EC_11189708,EB_11189710,2200116202a,EMT-Serie2-1,M19,EMT-Serie2-1-C2
EC_11189708,EB_11189710,2200116202a,EMT-Serie2-1,M20,EMT-Serie2-1-C2
EC_11189708,EB_11189710,2200116202a,EMT-Serie2-1,M21,EMT-Serie2-1-C2
EC_11189708,EB_11189710,2200116202a,EMT-Serie2-1,M22,EMT-Serie2-1-C2
EC_11189708,EB_11189710,2200116202a,EMT-Serie2-1,M23,EMT-Serie2-1-C2
EC_11189708,EB_11189710,2200116202a,EMT-Serie2-1,M24,EMT-Serie2-1-C2
EC_11191782,EB_11191785,2200116202a,EMT-Serie2-1,N05,EMT-Serie2-1-C2
EC_11191782,EB_11191785,2200116202a,EMT-Serie2-1,N06,EMT-Serie2-1-C2
